designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966504078672057728",5966504078672057728,253.47099394137743,-41.849629225733985,0.8204307927787066,-0.8934423023624549,0.47649447456245675,0.9932052,19.14811,2.8778267,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672072704",5966504078672072704,253.47076168643517,-41.84419060497913,0.2037353222572959,-0.6151419304517453,-2.4774949661214807,1.0005292,20.329782,2.25181,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672075264",5966504078672075264,253.46561166999288,-41.846774357474104,1.1697679603809457,-1.1234441390107677,-1.2347445827993413,1.0690544,19.889788,0.7729683,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078672075776",5966504078672075776,253.472270239119,-41.842325783983476,0.7541143841882609,0.39551131576299126,-9.90041667524641,1.260814,14.336135,1.6499662,29.292559,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4917.856,3.5248,0.0763,1154.9392,1.2678,0.9695,0.5174
"Gaia DR3 5966504078674284800",5966504078674284800,253.48052739023944,-41.84938305970854,1.4277956944585843,-1.3697112573623529,-3.990922577893976,1.0414137,20.373075,2.4464722,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078674297728",5966504078674297728,253.47172076729302,-41.84346772686367,-0.37398683677636846,2.752330873711448,0.7751984924957184,1.0947611,20.408052,1.6494827,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078674302592",5966504078674302592,253.47063417449243,-41.840552074188174,0.3799375378101843,-4.4091740970211415,-5.292202489389999,1.0140615,19.22319,1.9106941,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078675271424",5966504078675271424,253.4793733244096,-41.855966326405444,0.1422859621721552,-2.0863478086453098,-0.5356675649331375,1.1991216,20.40174,1.0652447,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078679412096",5966504078679412096,253.46593654486665,-41.84885602005522,0.4480500163442814,-1.5547407909016466,-2.0920562900064334,1.0500838,20.435028,1.3598251,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966504078679417856",5966504078679417856,253.4808059909354,-41.84869113468384,1.2877310014588084,-0.21957505758310902,-2.660841652240536,0.97205925,20.548185,1.0757694,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
